date,Theresa May twitter pro,Theresa May user pro,Theresa May twitter con,Theresa May user con,Jeremy Corbyn twitter pro,Jeremy Corbyn user pro,Jeremy Corbyn twitter con,Jeremy Corbyn user con,Nicola Sturgeon twitter pro,Nicola Sturgeon user pro,Nicola Sturgeon twitter con,Nicola Sturgeon user con,Tim Farron twitter pro,Tim Farron user pro,Tim Farron twitter con,Tim Farron user con,Arlene Foster twitter pro,Arlene Foster user pro,Arlene Foster twitter con,Arlene Foster user con,Gerry Adams twitter pro,Gerry Adams user pro,Gerry Adams twitter con,Gerry Adams user con,Leanne Wood twitter pro,Leanne Wood user pro,Leanne Wood twitter con,Leanne Wood user con,Jonathan Bartley Caroline Lucas twitter pro,Jonathan Bartley Caroline Lucas user pro,Jonathan Bartley Caroline Lucas twitter con,Jonathan Bartley Caroline Lucas user con,John Bercow twitter pro,John Bercow user pro,John Bercow twitter con,John Bercow user con,Sylvia Hermon twitter pro,Sylvia Hermon user pro,Sylvia Hermon twitter con,Sylvia Hermon user con,Theresa May polling,Jeremy Corbyn polling,Nicola Sturgeon polling,Tim Farron polling,Arlene Foster polling,Gerry Adams polling,Leanne Wood polling,Jonathan Bartley Caroline Lucas polling,John Bercow polling,Sylvia Hermon polling
9/1/16,11,11,13,13,24,24,15,15,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.29,0.07,0.07,0,0,0,0.03,0,0
9/2/16,42,41,91,86.5,71,70,75,72.5,29,29,40,39,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.29,0.07,0.07,0,0,0,0.03,0,0
9/3/16,206,190.7,328,305.2833333,407,361.1,177,162.9166667,38,36.5,55,51.25,4,3.25,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.4,0.29,0.07,0.07,0,0,0,0.03,0,0
9/4/16,25,24,53,52,16,16,2,2,1,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.29,0.07,0.07,0,0,0,0.03,0,0
9/5/16,33.5,33.5,18,16.5,15,15,8,7,1.5,1,5,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.29,0.07,0.07,0,0,0,0.03,0,0
9/6/16,229,217,386,344.1666667,398.5,363.4309524,290.5,259.3309524,72,66.45238095,67,62.33333333,5,2.285714286,2,2,0,0,0,0,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.29,0.07,0.07,0,0,0,0.03,0,0
9/7/16,260,242.5,405.5,353.1666667,238,212.5,219,192.5833333,31,31,41,37.75,4,3,8,8,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2.5,1.5,0,0,0,0,0.4,0.29,0.07,0.07,0,0,0,0.03,0,0
9/8/16,473.5,445.2,441,398.3666667,473,410.7166667,330.5,297.2166667,50,47.33333333,53.5,48.91666667,5,5,4.5,4.25,0,0,0,0,2,2,3,3,1,1,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0.4,0.29,0.07,0.07,0,0,0,0.03,0,0
9/9/16,348,324.6666667,336.5,320,146.5,142,110,104,19,18.33333333,9,9,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0.27,0.05,0.08,0.005,0.005,0,0.04,0.005,0.005
9/10/16,226.5,214,294,274.6666667,144.5,126.8333333,106,100.5833333,25,24.33333333,5,4.75,4,4,3,3,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,12,9.166666667,6,3.666666667,0,0,0,0,0.4,0.34,0.04,0.06,0.0025,0.0025,0,0.05,0.0025,0.0025
